Model Number,Slice,Color Code,Gas? (disregard),Char Count,CARTON_DESC,PRODUCT_DESC,LINE_DESC,LENGTH,WIDTH,HEIGHT,WEIGHT,POINTS,BRAND_CD,BRAND_DESC,UPC_CD,Column1,Flat UPC,,backup
FRT17G5BSB,,B,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE, ,,,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G5CSB,,B,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 73909 5,012505739095,012505739095,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G5CSK,,K,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 73910 1,012505739101,012505739101,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G5JSB,,B,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 67640 6,012505676406,012505676406,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G5JSK,,K,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 67571 3,012505675713,012505675713,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17GG5AQ,,Q,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73557 8,012505735578,012505735578,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17GG5AW,,W,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73556 1,012505735561,012505735561,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17HB3CW,,W,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 74114 2,012505741142,012505741142,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17HB3CZ,,Z,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 67306 1,012505673061,012505673061,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17HB3JW,,W,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 67580 5,012505675805,012505675805,,16' & OVER REFRIG TM - 15 & 17 CU FT
