Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS18080,KSTSLV1,AF Lighting,Seasonal,Wall Sleeve for Through the Wall Air Conditioners,D-Class,348.0,959.88,12.0
BS18080,NN-TK922SS,PANASONIC,Small Appliances,Trim Kit,D-Class,80.0,899.8,4.0
BS18080,WF42H5000AW,SAMSUNG,Major Appliances,4.2 Cu. Ft. Front Load Washer 5000 Series,D-Class,203.0,899.0,1.0
BS18080,8000,WASTE KING,Small Appliances,1 HPHeavy DutyInsul. 2600 RPM Corros.Resist. Li   fetime Warr Cord Incl.,D-Class,42.0,869.97,3.0
BS18080,PM500SS,BROAN,Small Appliances,Power Pack 500 CFM 9 Sones 3-Speeds Halogen Li    ghting,D-Class,32.0,762.2,1.0
BS18080,FFGF3047LS,FRIGIDAIRE,Major Appliances,"30"" Gas Range 4.2 CF Manual Clean Oven",D-Class,169.0,749.0,1.0
BS18080,DPF073C1WDB,DANBY,Small Appliances,7.3 CuFt Refer 3 Adjustable glass shelve Mechanic al Thermostat,D-Class,210.0,739.98,2.0
BS18080,FFEF3018LB,FRIGIDAIRE,Major Appliances,"30"" Electric Smooth Top Range 5.3 CF Self Clean O ven",D-Class,156.0,699.0,1.0
BS18080,FFEF3018LQ,FRIGIDAIRE,Major Appliances,"30"" Electric Smooth Top Range 5.3 CF Self Clean O ven",D-Class,140.0,699.0,1.0
BS18080,ME18H704SFS,SAMSUNG,Major Appliances,1.8 Cu.Ft. OTR Microwave,D-Class,126.0,698.0,2.0
BS18080,LP1414SHR,LG,Seasonal,14000 BTU Portable Air Conditioner/Heater,D-Class,85.0,649.99,1.0
BS18080,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,D-Class,94.0,649.99,1.0
BS18080,FGMV154CLF,FRIGIDAIRE,Major Appliances,"30"" Convection Over-The-Range Microwave 1.5 CF 9  00 Watts",D-Class,69.0,609.0,1.0
BS18080,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,D-Class,94.0,599.99,1.0
BS18080,QS236SS,BROAN,Small Appliances,"36"" Convertible Range Hood Variable Speed Light    300 CFM",D-Class,31.0,591.0,1.0
BS18080,R1874T,SHARP,Small Appliances,1.1 CF 850 Watt OTR Convection Microwave; Stainle ss,D-Class,84.0,579.99,1.0
BS18080,FFEF3015PB,FRIGIDAIRE,Major Appliances,"30"" Electric Coil Top Range 5.3 CF Self Clean Ove n",D-Class,148.0,569.0,1.0
BS18080,FFEF3015PW,FRIGIDAIRE,Major Appliances,"30"" Electric Coil Top Range 5.3 CF Self Clean Ove n",D-Class,148.0,569.0,1.0
BS18080,413004,BROAN,Small Appliances,"30"" Range Hood Non-ducted 2-Speed Rocker Light     160 CFM",D-Class,39.0,553.86,3.0
BS18080,MN12CES,HONEYWELL,Seasonal,12000 BTU Portable A/C,D-Class,81.0,549.99,1.0
BS18080,7901-6H,AF Lighting,Home,"Lucy Chandelier 6-40W Candle Bulbs 30.5""HX30W H   ardwire Only",D-Class,23.0,547.5,1.0
BS18080,3300,WASTE KING,Small Appliances,3/4 HPHeavy DutyInsul. 2700 RPM Corros.Resist.    10 Yr Warr Cord Incl.,D-Class,24.0,519.98,2.0
BS18080,WEM610,Brown,Major Appliances,"24"" Electric Range Prop Rod 2 Racks Storage",D-Class,120.0,508.18,1.0
BS18080,DPA140B1WB,AF Lighting,Seasonal,14000 BTU Portable A/C,D-Class,82.0,499.99,1.0
BS18080,HTWP1400FWW,GE,Major Appliances,3.6 CF Top Load Washer Plastic Ribbed Bskt 8 Cyc  les  Power Rinse,D-Class,152.0,499.0,1.0
BS18080,FFEF3011LW,FRIGIDAIRE,Major Appliances,"30"" Electric Coil Top Range 4.8 CF Manual Clean O ven",D-Class,144.0,499.0,1.0
BS18080,MN10CES,HONEYWELL,Seasonal,10000 BTU Portable A/C,D-Class,75.0,449.99,1.0
BS18080,MN10CESBB,HONEYWELL,Seasonal,10000 BTU Portable A/C,D-Class,75.0,449.99,1.0
BS18080,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,D-Class,75.0,449.99,1.0
BS18080,FFCE2278LS,FRIGIDAIRE,Major Appliances,2.2 CF 1200 Watt Countertop Microwave Multi-Stage  Sensor,D-Class,96.0,438.0,2.0
BS18080,RACP1206,RCA,Seasonal,12000 BTU Portable Air Conditioner,D-Class,71.0,429.99,1.0
BS18080,FGMO205KF,FRIGIDAIRE,Major Appliances,2.0 CF Built-In Microwave 1200 Watts,D-Class,47.0,419.0,1.0
BS18080,MF08CESWW,HONEYWELL,Seasonal,8000 BTU Portable A/C,D-Class,63.0,399.99,1.0
BS18080,DBC039A1BDB,DANBY,Small Appliances,3.9 CuFt. Beverage CenterHolds 7 Bottles & 124 Ca ns Free Standing,D-Class,105.0,399.99,1.0
BS18080,R659YW,SHARP,Small Appliances,"2.2 cu.ft 1200W with 16"" Turntable Sensor Keep    Warm Function",D-Class,106.0,359.98,2.0
BS18080,CMSF-10310,AF Lighting,Home,Cleveland - Free-standng Electric Fireplace Adj F lame  1500W/750W  110v,D-Class,45.0,349.99,1.0
BS18080,R551ZS,SHARP,Small Appliances,"1.8 cu.ft 1100W with 15"" tunrtable Sensor Softe   ning function",D-Class,88.0,339.98,2.0
BS18080,2600,WASTE KING,Small Appliances,1/2 HP Removable Splash GuardCorrosion Resist26   00 RPM 5 Yr Warranty,D-Class,18.0,339.98,2.0
BS18080,DAR044A6LDB,DANBY,Small Appliances,4.4 CuFt. Contemporary Classic Compact Refrigerator,D-Class,73.0,319.99,1.0
BS18080,HWE10XCR,HAIER,Seasonal,10000 BTU Window Air Conditioner,D-Class,66.0,299.99,1.0
BS18080,FFCE1439LB,FRIGIDAIRE,Major Appliances,1.4 CF 1100 Watt Countertop Microwave Multi-Stage  Sensor,D-Class,78.0,298.0,2.0
BS18080,QS130BC,BROAN,Small Appliances,"Allure 1 30"" Convertible Range Hood Variable Spe  ed  Light  220 CFM",D-Class,22.0,283.14,1.0
BS18080,DH50W,AF Lighting,Seasonal,50 Pint Dehumidifier,D-Class,41.0,279.99,1.0
BS18080,F403023,BROAN,Small Appliances,"30"" Convertible Range Hood 160 CFM",D-Class,22.0,270.48,2.0
BS18080,9940,WASTE KING,Small Appliances,3/4 HP- 8 Year In-Home Warranty,D-Class,11.0,269.99,1.0
BS18080,463604,BROAN,Small Appliances,"36"" Range Hood 220 CFM",D-Class,15.0,251.38,1.0
BS18080,LW6015ER,LG,Seasonal,6000 BTU Window Air Conditioner,D-Class,54.0,249.99,1.0
BS18080,463004,BROAN,Small Appliances,"30"" Range Hood 220 CFM",D-Class,13.0,242.1,1.0
BS18080,EA120T,FRIGIDAIRE,Seasonal,"26"" Trim Kit - Allows 24"" TTW AC Units to Fit into 26"" TTW Sleeves",D-Class,6.0,239.97,3.0
BS18080,DAR044A4BDD,DANBY,Small Appliances,4.4 CuFt. Counter High All RefrigAuto Cycle Defro st Energy Star,D-Class,64.0,229.99,1.0
BS18080,CS10XE,AF Lighting,Seasonal,21 Pint Indoor Portable Evaporative Air Cooler,D-Class,23.0,219.99,1.0
BS18080,FFCE2238LW,FRIGIDAIRE,Major Appliances,2.2 CF 1200 Watt Countertop Microwave Multi-Stage  Sensor,D-Class,51.0,209.0,1.0
BS18080,LCRT2010ST,LG,Major Appliances,2.0 cu ft CMO MW True Cook Plus EZ Clean - Optio  nal Trim Kit Available,D-Class,44.0,209.0,1.0
BS18080,FFCE2238LW,FRIGIDAIRE,Major Appliances,2.2 CF 1200 Watt Countertop Microwave Multi-Stage  Sensor,D-Class,51.0,209.0,1.0
BS18080,RK93S30M,SHARP,Small Appliances,"30"" Trim Kit for R930S Stainless Steel",D-Class,19.0,199.99,1.0
BS18080,RK52S30,SHARP,Small Appliances,"30"" Built-in Trim Kit For R651ZS",D-Class,11.0,199.99,1.0
BS18080,CSO71AE,AF Lighting,Seasonal,15 Pint Indoor Portable Evaporative Air Cooler,D-Class,15.0,179.99,1.0
BS18080,MINILAVA-SS-LP,Lava Heat,Seasonal,Mini Patio Heater 27000 BTU Liquid Propane,D-Class,15.0,179.0,1.0
BS18080,HWF05XCL-L,HAIER,Seasonal,5000 BTU Window Air Conditioner - Mechanical Controls,D-Class,41.0,159.99,1.0
BS18080,MK2030F,LG,Major Appliances,"30"" Stainless Steel Built-In Trim Kit",D-Class,14.0,159.0,1.0
BS18080,X35WMEF1BLK,AF Lighting,Home,"35"" Wall Mount Electronic Fireplace Remote Logs",D-Class,23.0,152.73,1.0
BS18080,FFCE1439LW,FRIGIDAIRE,Major Appliances,1.4 CF 1100 Watt Countertop Microwave Multi-Stage  Sensor,D-Class,39.0,149.0,1.0
BS18080,FZN60HFU,SHARP,Small Appliances,Filter for FPN60CX,D-Class,2.0,119.99,1.0
BS18080,DMW111KWDB,DANBY,Small Appliances,1100W Microwave,D-Class,34.0,119.99,1.0
BS18080,AXSVA4,LG,Seasonal,Wall Sleeve w/stamped alluminum grill,D-Class,33.0,109.99,1.0
BS18080,FFCM0934LS,FRIGIDAIRE,Major Appliances,0.9 CF 900 Watt Countertop Microwave 10 Power Lev els,D-Class,30.0,109.0,1.0
BS18080,FFCM0734LS,FRIGIDAIRE,Major Appliances,0.7 CF 700 Watt Countertop Microwave 10 Power Lev els,D-Class,25.0,99.0,1.0
BS18080,FFCM0734LS,FRIGIDAIRE,Major Appliances,0.7 CF 700 Watt Countertop Microwave 10 Power Lev els,D-Class,25.0,99.0,1.0
BS18080,FFCM0734LS,FRIGIDAIRE,Major Appliances,0.7 CF 700 Watt Countertop Microwave 10 Power Lev els,D-Class,25.0,99.0,1.0
BS18080,DMP-BD79,PANASONIC,Consumer Electronics,Blu-ray PlayerWiFi readyDLNANetflixCinemaNowV     UDU HULU+.You Tube Str,D-Class,3.0,79.99,1.0
BS18080,DMW7700BLDB,DANBY,Small Appliances,700W Microwave 0.7Cu.Ft 10 power levels Oval doo  r design,D-Class,24.0,79.99,1.0
BS18080,UMBRELLABASE,Hanover,Home,Umbrella Base for Traditions and Monaco Umbrella,D-Class,22.0,79.0,1.0
BS18080,SP300108,BROAN,Small Appliances,"30"" Reversible Backsplash",D-Class,6.0,78.56,2.0
,,,,,,9070.0,59538.71000000001,167.0
